ancine_id,distributor_movies_exhibited,distributor_origin
B0901024500000,1,national
E1600546500000,68,international
B0901028800000,40,international
E1402603000000,61,national
E1500675000000,40,international
E1500819500000,33,national
B0901015000000,25,international
E1600628800000,18,national
E1500380200000,40,international
B0900982500000,1,national
B0800866000000,61,national
E1500869600000,33,national
E1600594800000,61,national
E1600544100000,23,national
B0700701800000,61,national
E1600594900000,61,national
E1500701500000,68,international
B0901006700000,1,national
B0901010800000,20,international
E1402479900000,18,national
E1402747200000,20,international
E1500933600000,68,international
E1600562500000,29,national
E1600623100000,20,international
E1402794800000,68,international
E1600606400000,23,national
E1600174800000,68,international
E1402337300000,29,national
E1600549100000,44,national
E1402606700000,25,international
E1600021100000,68,international
E1600629600000,33,national
E1500920300000,40,international
E1600090500000,18,national
E1402604700000,25,international
E1600628000000,25,international
B0800831900000,6,national
E1600549900000,27,national
E1600614000000,61,national
E1600551600000,18,national
E1600550000000,12,national
E1600629700000,25,international
E1600613500000,61,national
B0901063200000,61,national
E1600635600000,33,national
E1600550400000,29,national
B0700707700000,7,national
E1600636200000,68,international
E1500796600000,68,international
E1600168100000,23,national
B0800922200000,27,national
E1600551500000,27,national
E1600551700000,40,international
E1600563900000,25,international
B0900982700000,12,national
E1600601200000,27,national
E1500120300000,33,national
E1600549800000,40,national
E1600552000000,40,international
E1402514700000,40,international
B0900993400000,25,international
E1600627500000,44,national
E1402518500000,25,international
B0901044600000,1,national
E1600612200000,40,national
B0800953500000,25,international
E1600639700000,61,national
B0901080700000,68,international
E1600576400000,68,international
B1001132300000,2,national
B1001132200000,2,national
E1600553800000,68,international
B0900988600000,44,national
E1600555800000,61,national
E1600611200000,61,national
E1600623800000,61,national
E1600556400000,30,national
E1600556500000,30,national
B0901061000000,61,national
B0901013900000,6,national
B0901055900000,18,national
E1600551800000,44,national
E1600557200000,20,international
E1600599700000,44,national
E1600630300000,29,national
B0900969800000,10,national
B0901043200000,17,international
E1402503400000,25,international
B0900979600000,2,national
E1600561800000,30,national
E1600544500000,10,national
E1500116400000,68,international
E1402644600000,30,national
E1600622800000,33,national
E1600608700000,33,national
E1600563100000,33,national
E1600380600000,68,international
B0901003500000,2,national
B0901103700000,2,national
B0901078400000,40,national
E1600598500000,40,national
E1600563500000,44,national
E1600564000000,40,international
E1600410100000,25,international
E1402630000000,68,international
B0901108700000,33,national
E1600555400000,44,national
E1500169000000,33,national
B0901070100000,2,national
B0800951000000,1,national
E1600468800000,25,international
E1600611600000,40,national
B0901091900000,10,national
B0800956800000,9,national
E1600582600000,61,national
E1600601300000,61,national
E1600626400000,2,national
B0600605500000,9,national
E1600589600000,33,national
E1600589700000,17,international
E1500459600000,44,national
E1600426500000,30,national
E1600608800000,44,national
E1600583100000,33,national
B0900998600000,2,national
B0900999100000,9,national
B0901086000000,1,national
E1600174700000,17,international
E1500379900000,68,international
E1600613700000,33,national
E1402795800000,25,international
B0800936700000,1,national
E1600562200000,2,national
